SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR25-01602872,Sanitation Code Violation,SCB,,Streets and Sanitation,Completed,Internet,9/2/2025 16:42,9/4/2025 12:49,9/4/2025 12:49,6016 N AUSTIN AVE,Chicago,Illinois,60646,6016,N,AUSTIN,AVE,FALSE,FALSE,,,10,39,1,A007,1,16,1611,23,,16,3,9,1135181.4020523157,1939722.3720012128,41.990796,-87.778143,"(41.990796000941, -87.778143000002)"
SR25-01602870,Blue Recycling Cart,SRRC,,Streets and Sanitation,Open,Mobile Device,9/2/2025 16:42,9/2/2025 16:42,,3412 S CARPENTER ST,,,,3412,S,CARPENTER,ST,FALSE,FALSE,,,60,11,9,N029,1,09,0913,19,,16,3,9,1169796.853960017,1882201.8401449574,41.83227,-87.6524985,"(41.83227000094, -87.652498500002)"
SR25-01602869,Traffic Signal Out Complaint,SFB,CDOT - Department of Transportation,CDOT - Department of Transportation,Completed,Phone Call,9/2/2025 16:42,9/2/2025 16:43,9/2/2025 16:43,7101 S YATES BLVD,Chicago,Illinois,60649,7101,S,YATES,BLVD,FALSE,FALSE,,,43,7,12,W039,3,03,0334,5,,16,3,9,1193471.3760665741,1858356.162,41.76628833,-87.56641552,"(41.7662883329, -87.566415515813)"
SR25-01602868,Graffiti Removal Request,GRAF,Streets and Sanitation,Streets and Sanitation,Completed,Phone Call,9/2/2025 16:42,9/5/2025 9:06,9/5/2025 9:06,1461 W FARGO AVE,Chicago,Illinois,60626,1461,W,FARGO,AVE,FALSE,FALSE,,,1,49,2,M004,2,24,2422,16,,16,3,9,1165085.6226822108,1949424.0714315076,42.016833,-87.6678705,"(42.016833000941, -87.667870500002)"
SR25-01602863,Pothole in Street Complaint,PHF,,CDOT - Department of Transportation,Open,Mobile Device,9/2/2025 16:41,9/2/2025 16:41,,1737 W COLUMBIA AVE,,,,1737,W,COLUMBIA,AVE,FALSE,FALSE,,,1,49,2,L006,3,24,2432,28,,16,3,9,1163403.057844104,1944796.291858446,42.00417,-87.674193,"(42.004170000941, -87.674193000002)"
SR25-01602862,Water in Basement Complaint,AAF,Alderman,DWM - Department of Water Management,Canceled,Alderman's Office,9/2/2025 16:41,9/2/2025 16:58,9/2/2025 16:58,3119 S SPRINGFIELD AVE,Chicago,Illinois,60623,3119,S,SPRINGFIELD,AVE,FALSE,FALSE,,,30,22,8,G029,3,10,1031,10,,16,3,9,1150938.1751168324,1883542.4058567537,41.836338,-87.721659,"(41.83633800094, -87.721659000002)"
SR25-01602859,Traffic Signal Out Complaint,SFB,,CDOT - Department of Transportation,Completed,Mobile Device,9/2/2025 16:41,9/2/2025 16:46,9/2/2025 16:46,217 W ADAMS ST,,,,217,W,ADAMS,ST,FALSE,FALSE,,,32,42,7,P023,2,01,0122,9,,16,3,9,1174465.5122287658,1899294.2424549246,41.87907,-87.6348585,"(41.87907000094, -87.634858500002)"
SR25-01602856,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:41,9/2/2025 17:32,9/2/2025 16:41,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602853,Graffiti Removal Request,GRAF,Streets and Sanitation,Streets and Sanitation,Completed,Phone Call,9/2/2025 16:41,9/4/2025 12:42,9/4/2025 12:42,6953 N PAULINA ST,Chicago,Illinois,60626,6953,N,PAULINA,ST,FALSE,FALSE,,,1,49,2,L005,3,24,2431,20,,16,3,9,1163979.7342277984,1946306.1927311986,42.008301,-87.6720285,"(42.008301000941, -87.672028500002)"
SR25-01602851,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:40,9/2/2025 17:31,9/2/2025 16:40,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602846,Yard Waste Pick-Up Request,SCQ,311 City Services,Streets and Sanitation,Completed,Phone Call,9/2/2025 16:40,9/3/2025 14:29,9/3/2025 14:29,3434 N RIDGEWAY AVE,Chicago,Illinois,60618,3434,N,RIDGEWAY,AVE,FALSE,FALSE,,,21,30,3,G014,3,17,1732,3,,16,3,9,1150759.0477735659,1922731.5662245604,41.94388067,-87.72129059,"(41.943880665443, -87.721290589627)"
SR25-01602844,No Building Permit and Construction Violation,BBD,Alderman,DOB - Buildings,Open,Alderman's Office,9/2/2025 16:40,9/2/2025 16:40,,4457 N LAMON AVE,Chicago,Illinois,60630,4457,N,LAMON,AVE,FALSE,FALSE,,,15,45,1,D011,2,16,1623,14,,16,3,9,1142971.2347927555,1929416.5957613592,41.962374,-87.749748,"(41.962374000941, -87.749748000002)"
SR25-01602841,Building Violation,BBA,311 City Services,DOB - Buildings,Open,Phone Call,9/2/2025 16:40,9/2/2025 16:40,,2114 W DEVON AVE,Chicago,Illinois,60659,2114,W,DEVON,AVE,FALSE,FALSE,,,2,50,2,K006,1,24,2412,13,,16,3,9,1160948.207753905,1942537.3872699167,41.998023,-87.6832875,"(41.998023000941, -87.683287500002)"
SR25-01602839,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:39,9/2/2025 17:32,9/2/2025 16:39,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602836,Traffic Signal Out Complaint,SFB,311 City Services,CDOT - Department of Transportation,Open,Phone Call,9/2/2025 16:39,9/2/2025 19:55,,3867 S COTTAGE GROVE AVE,Chicago,Illinois,,3867,S,COTTAGE GROVE,AVE,FALSE,FALSE,,,38,4,9,R031,1,02,0214,32,,16,3,9,1182255.0516467988,1879280.154854364,41.82397265,-87.6068788,"(41.823972647395, -87.606878795833)"
SR25-01602834,Divvy Bike Parking Complaint,DBPC,,Outside Agencies,Completed,Internet,9/2/2025 16:39,9/2/2025 17:37,9/2/2025 17:37,3026 E 91ST ST,Chicago,Illinois,60617,3026,E,91ST,ST,FALSE,FALSE,,,46,10,15,X043,2,04,0424,36,,16,3,9,1198035.097768978,1845308.6011756575,41.730372,-87.5501235,"(41.73037200094, -87.550123500002)"
SR25-01602833,Finance Parking Code Enforcement Review,FPCE,,Finance,Completed,Mobile Device,9/2/2025 16:39,9/2/2025 16:39,9/2/2025 16:39,1072 W POLK ST,,,,1072,W,POLK,ST,FALSE,FALSE,,,28,34,7,N024,3,12,1232,25,,16,3,9,1169272.7223068823,1896674.6405679386,41.871996,-87.6540015,"(41.87199600094, -87.654001500002)"
SR25-01602828,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:38,9/2/2025 17:32,9/2/2025 16:38,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602827,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:38,9/2/2025 17:32,9/2/2025 16:38,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602823,Buildings - Plumbing Violation,BBC,311 City Services,DOB - Buildings,Open,Phone Call,9/2/2025 16:38,9/2/2025 16:38,,7537 S PHILLIPS AVE,Chicago,Illinois,60649,7537,S,PHILLIPS,AVE,FALSE,FALSE,,,43,7,12,W040,2,04,0421,11,,16,3,9,1193927.6101131665,1855310.9994728537,41.757921,-87.564843,"(41.75792100094, -87.564843000002)"
SR25-01602821,Graffiti Removal Request,GRAF,Streets and Sanitation,Streets and Sanitation,Completed,Phone Call,9/2/2025 16:38,9/5/2025 9:21,9/5/2025 9:21,1734 W GREENLEAF AVE,Chicago,Illinois,60626,1734,W,GREENLEAF,AVE,FALSE,FALSE,,,1,49,2,L005,2,24,2423,3,,16,3,9,1163493.2659802833,1947021.502,42.01027412,-87.67379806,"(42.010274122315, -87.673798056614)"
SR25-01602820,Tree Debris Clean-Up Request,SEL,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:38,9/2/2025 16:38,,9841 S HOXIE AVE,Chicago,Illinois,60617,9841,S,HOXIE,AVE,FALSE,FALSE,,,51,7,15,W045,3,04,0431,15,,16,3,9,1195170.950841983,1840048.194427099,41.716008,-87.5607885,"(41.71600800094, -87.560788500002)"
SR25-01602819,Abandoned Vehicle Complaint,SKA,,Streets and Sanitation,Open,Mobile Device,9/2/2025 16:38,9/2/2025 16:38,,4820 N MONT CLARE AVE,,,,4820,N,MONT CLARE,AVE,FALSE,FALSE,,,10,41,1,Y110,1,16,1613,12,,16,3,9,1127894.0788415675,1931722.847127682,41.968971,-87.8051295,"(41.968971000941, -87.805129500002)"
SR25-01602818,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Open,Phone Call,9/2/2025 16:38,9/2/2025 16:38,,8514 S SANGAMON ST,Chicago,Illinois,60620,8514,S,SANGAMON,ST,FALSE,FALSE,,,71,17,13,N042,1,06,0613,17,,16,3,9,1171395.8747585781,1848249.5112392544,41.739066,-87.647625,"(41.73906600094, -87.647625000002)"
SR25-01602817,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:38,9/2/2025 17:32,9/2/2025 16:38,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602816,Building Violation,BBA,311 City Services,DOB - Buildings,Open,Phone Call,9/2/2025 16:37,9/2/2025 16:37,,7537 S PHILLIPS AVE,Chicago,Illinois,60649,7537,S,PHILLIPS,AVE,FALSE,FALSE,,,43,7,12,W040,2,04,0421,11,,16,3,9,1193927.6101131665,1855310.9994728537,41.757921,-87.564843,"(41.75792100094, -87.564843000002)"
SR25-01602813,Tree Removal Inspection,SEE,,Streets and Sanitation,Open,Internet,9/2/2025 16:37,9/2/2025 16:37,,5077 W MONROE ST,Chicago,Illinois,60644,5077,W,MONROE,ST,FALSE,FALSE,,,25,28,6,D023,3,15,1533,12,,16,3,9,1142433.6373043132,1899101.4215659425,41.879196,-87.7524795,"(41.87919600094, -87.752479500002)"
SR25-01602808,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:36,9/2/2025 17:32,9/2/2025 16:36,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602804,Pothole in Street Complaint,PHF,Streets and Sanitation,CDOT - Department of Transportation,Open,Phone Call,9/2/2025 16:36,9/2/2025 16:36,,7133 N DAMEN AVE,Chicago,Illinois,60626,7133,N,DAMEN,AVE,FALSE,FALSE,,,1,49,2,L005,2,24,2424,13,,16,3,9,1161790.346657715,1947758.7578071132,42.012333,-87.680043,"(42.012333000941, -87.680043000002)"
SR25-01602803,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:36,9/2/2025 17:31,9/2/2025 16:36,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602802,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:35,9/2/2025 17:32,9/2/2025 16:35,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602801,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Internet,9/2/2025 16:35,9/2/2025 16:36,,7363 N WINCHESTER AVE,Chicago,Illinois,60626,7363,N,WINCHESTER,AVE,FALSE,FALSE,,,1,49,2,L004,2,24,2424,33,,16,3,9,1162184.9760038138,1949090.1147156947,42.015978,-87.6785535,"(42.015978000941, -87.678553500002)"
SR25-01602799,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:35,9/2/2025 17:32,9/2/2025 16:35,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602797,Building Violation,BBA,,DOB - Buildings,Open,Internet,9/2/2025 16:35,9/2/2025 16:35,,5220 S HARPER AVE,Chicago,Illinois,60615,5220,S,HARPER,AVE,FALSE,FALSE,,,41,4,12,T034,3,02,0234,27,,16,3,9,1187162.0615514885,1870677.8726187237,41.80025215,-87.58915021,"(41.800252145731, -87.589150207713)"
SR25-01602795,Blue Recycling Cart,SRRC,,Streets and Sanitation,Open,Internet,9/2/2025 16:35,9/2/2025 16:35,,5909 W BYRON ST,Chicago,Illinois,60634,5909,W,BYRON,ST,FALSE,FALSE,,,15,38,3,B013,3,16,1633,39,,16,3,9,1136199.430433901,1925248.7942396852,41.951061,-87.7747455,"(41.951061000941, -87.774745500002)"
SR25-01602794,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 16:35,9/2/2025 16:35,,2724 W MORSE AVE,Chicago,Illinois,60645,2724,W,MORSE,AVE,FALSE,FALSE,,,2,50,2,J005,1,24,2411,34,,16,3,9,1156787.212048077,1945759.7688433607,42.006951,-87.6985065,"(42.006951000941, -87.698506500002)"
SR25-01602791,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 16:34,9/2/2025 16:35,,2126 S TRUMBULL AVE,Chicago,Illinois,60623,2126,S,TRUMBULL,AVE,FALSE,FALSE,,,29,24,7,H026,2,10,1024,9,,16,3,9,1153684.772294707,1889531.2492588647,41.852718,-87.7114215,"(41.85271800094, -87.711421500002)"
SR25-01602790,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 16:34,9/2/2025 16:34,,3059 W DIVERSEY AVE,Chicago,Illinois,60647,3059,W,DIVERSEY,AVE,FALSE,FALSE,,,22,1,4,I016,1,14,1411,28,,16,3,9,1155272.0513282635,1918381.8129032657,41.931855,-87.70482,"(41.931855000941, -87.704820000002)"
SR25-01602789,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:34,9/2/2025 17:31,9/2/2025 16:34,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602787,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Internet,9/2/2025 16:34,9/2/2025 16:34,,6040 N TROY ST,Chicago,Illinois,60659,6040,N,TROY,ST,FALSE,FALSE,,,2,50,2,I007,1,24,2413,23,,16,3,9,1154161.7718823634,1940154.9001630328,41.991624,-87.7083165,"(41.991624000941, -87.708316500002)"
SR25-01602786,Tree Removal Inspection,SEE,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:34,9/2/2025 16:34,,936 W WILLOW ST,Chicago,Illinois,60614,936,W,WILLOW,ST,FALSE,FALSE,,,7,43,5,N018,1,18,1813,23,,16,3,9,1169637.7364117634,1911990.939751306,41.914017,-87.652215,"(41.914017000941, -87.652215000002)"
SR25-01602785,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:34,9/2/2025 17:31,9/2/2025 16:34,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602784,Sidewalk Inspection Request,PBS,Alderman,CDOT - Department of Transportation,Open,Alderman's Office,9/2/2025 16:34,9/2/2025 16:34,,51 W HURON ST,Chicago,Illinois,60654,51,W,HURON,ST,FALSE,FALSE,,,8,42,5,P021,3,18,1832,39,,16,3,9,1175727.3741736752,1905037.667677236,41.89480201,-87.63005238,"(41.894802007218, -87.630052380681)"
SR25-01602780,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:33,9/2/2025 17:32,9/2/2025 16:33,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602778,Tree Debris Clean-Up Request,SEL,Alderman,Streets and Sanitation,Open,Alderman's Office,9/2/2025 16:33,9/2/2025 16:33,,9716 S HOYNE AVE,Chicago,Illinois,60643,9716,S,HOYNE,AVE,FALSE,FALSE,,,72,19,13,K045,1,22,2213,19,,16,3,9,1163998.0154333522,1840094.1644299028,41.716845,-87.674958,"(41.71684500094, -87.674958000002)"
SR25-01602777,Sanitation Code Violation,SCB,Alderman,Streets and Sanitation,Completed,Alderman's Office,9/2/2025 16:33,9/8/2025 6:51,9/8/2025 6:51,2137 W GARFIELD BLVD,Chicago,Illinois,60636,2137,W,GARFIELD,BLVD,FALSE,FALSE,,,67,15,11,K035,1,07,0715,3,,16,3,9,1162909.618782285,1868004.8209869098,41.79345871,-87.67816585,"(41.793458705242, -87.678165853235)"
SR25-01602774,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:32,9/2/2025 17:31,9/2/2025 16:32,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602773,Blue Recycling Cart,SRRC,,Streets and Sanitation,Open,Internet,9/2/2025 16:32,9/2/2025 16:32,,5705 S MAYFIELD AVE,Chicago,Illinois,60638,5705,S,MAYFIELD,AVE,FALSE,FALSE,,,56,13,10,B035,1,08,0811,4,,16,3,9,1138097.5603754183,1866095.1127320619,41.788701,-87.769197,"(41.78870100094, -87.769197000002)"
SR25-01602772,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:32,9/2/2025 17:32,9/2/2025 16:32,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602766,Tree Removal Inspection,SEE,,Streets and Sanitation,Open,Internet,9/2/2025 16:32,9/2/2025 16:32,,1520 N LEAVITT ST,Chicago,Illinois,60622,1520,N,LEAVITT,ST,FALSE,FALSE,,,24,1,5,K019,2,14,1424,38,,16,3,9,1161377.297411584,1910191.788964661,41.909256,-87.6826125,"(41.909256000941, -87.682612500002)"
SR25-01602765,Clean Vacant Lot Request,SCT,,Streets and Sanitation,Open,Mobile Device,9/2/2025 16:32,9/2/2025 16:32,,115 W 103RD PL,,,,115,W,103RD,PL,FALSE,FALSE,,,49,9,14,P047,1,05,0512,18,,16,3,9,1177259.669,1836257.0944728476,41.706027,-87.626502,"(41.70602700094, -87.626502000002)"
SR25-01602763,Abandoned Vehicle Complaint,SKA,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:31,9/2/2025 16:32,,11558 S LOOMIS ST,Chicago,Illinois,60643,11558,S,LOOMIS,ST,FALSE,FALSE,,,53,21,13,M050,2,05,0524,1,,16,3,9,1168982.6949162192,1827883.164438375,41.68323,-87.6570525,"(41.68323000094, -87.657052500002)"
SR25-01602762,Tree Debris Clean-Up Request,SEL,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:31,9/2/2025 16:31,,8147 S WABASH AVE,Chicago,Illinois,60619,8147,S,WABASH,AVE,FALSE,FALSE,,,44,6,12,Q041,3,06,0631,41,,16,3,9,1178226.0000088285,1850787.688396274,41.745879,-87.622524,"(41.74587900094, -87.622524000002)"
SR25-01602761,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:31,9/2/2025 17:32,9/2/2025 16:31,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602759,Finance Parking Code Enforcement Review,FPCE,Alderman,Finance,Completed,Alderman's Office,9/2/2025 16:31,9/2/2025 16:31,9/2/2025 16:31,25 E DIVISION ST,Chicago,Illinois,60610,25,E,DIVISION,ST,FALSE,FALSE,,,8,2,5,Q020,2,18,1824,29,,16,3,9,1176368.1938664478,1908309.6330048752,41.903766,-87.6276,"(41.903766000941, -87.627600000002)"
SR25-01602758,Blue Recycling Cart,SRRC,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:31,9/2/2025 16:31,,4936 W HARRISON ST,Chicago,Illinois,60644,4936,W,HARRISON,ST,FALSE,FALSE,,,25,29,6,D023,3,15,1533,6,,16,3,9,1143514.4358136319,1896960.535416035,41.873301,-87.7485645,"(41.87330100094, -87.748564500002)"
SR25-01602757,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:31,9/2/2025 17:32,9/2/2025 16:31,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602756,Clean Vacant Lot Request,SCT,Alderman,Streets and Sanitation,Completed,Alderman's Office,9/2/2025 16:31,9/7/2025 11:08,9/7/2025 11:08,3340 W PIERCE AVE,Chicago,Illinois,60651,3340,W,PIERCE,AVE,FALSE,FALSE,,,23,26,5,H019,2,14,1422,12,,16,3,9,1153639.2126733663,1910186.8435213838,41.9094,-87.711039,"(41.909400000941, -87.711039000002)"
SR25-01602755,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:31,9/2/2025 17:32,9/2/2025 16:31,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602752,Garbage Cart Maintenance,SIE,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:30,9/2/2025 16:30,,4936 W HARRISON ST,Chicago,Illinois,60644,4936,W,HARRISON,ST,FALSE,FALSE,,,25,29,6,D023,3,15,1533,6,,16,3,9,1143514.4358136319,1896960.535416035,41.873301,-87.7485645,"(41.87330100094, -87.748564500002)"
SR25-01602749,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:30,9/2/2025 17:31,9/2/2025 16:30,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602747,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:30,9/2/2025 17:32,9/2/2025 16:30,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602744,Abandoned Vehicle Complaint,SKA,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:30,9/2/2025 16:30,,1803 N MCVICKER AVE,Chicago,Illinois,60639,1803,N,MCVICKER,AVE,FALSE,FALSE,,,25,29,6,A018,1,25,2513,36,,16,3,9,1135704.9013852875,1911378.2540566842,41.91300752,-87.77689431,"(41.913007520244, -87.776894311205)"
SR25-01602740,Blue Recycling Cart,SRRC,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:29,9/2/2025 16:29,,7623 S BISHOP ST,Chicago,Illinois,60620,7623,S,BISHOP,ST,FALSE,FALSE,,,71,17,11,M040,1,06,0612,27,,16,3,9,1167967.6356719953,1854089.857279554,41.755167,-87.660018,"(41.75516700094, -87.660018000002)"
SR25-01602737,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 16:29,9/2/2025 16:33,9/2/2025 16:29,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,16,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01602736,Abandoned Vehicle Complaint,SKA,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 16:29,9/2/2025 16:29,,8523 S WINCHESTER AVE,Chicago,Illinois,60620,8523,S,WINCHESTER,AVE,FALSE,FALSE,,,71,18,13,L042,1,06,0614,9,,16,3,9,1164914.928489586,1848038.0607633807,41.738625,-87.671376,"(41.73862500094, -87.671376000002)"
SR25-01602735,Sanitation Code Violation,SCB,Alderman,Streets and Sanitation,Open,Alderman's Office,9/2/2025 16:29,9/2/2025 16:29,,5130 W WABANSIA AVE,Chicago,Illinois,60639,5130,W,WABANSIA,AVE,FALSE,FALSE,,,25,37,6,D018,3,25,2533,10,,16,3,9,1141923.7165717846,1910914.8855993466,41.911623,-87.754059,"(41.911623000941, -87.754059000002)"
SR25-01602732,Abandoned Vehicle Complaint,SKA,,Streets and Sanitation,Completed,Internet,9/2/2025 16:29,9/2/2025 17:34,9/2/2025 17:34,3642 N SEELEY AVE,Chicago,Illinois,60618,3642,N,SEELEY,AVE,FALSE,FALSE,,,5,47,4,K013,2,19,1921,4,,16,3,9,1161960.0984015854,1924378.100672992,41.948172,-87.6800745,"(41.948172000941, -87.680074500002)"
