SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR25-01597618,Low Water Pressure Complaint,WBK,DWM - Department of Water Management,DWM - Department of Water Management,Completed,Phone Call,9/2/2025 9:08,9/2/2025 11:58,9/2/2025 11:58,1522 W BALMORAL AVE,Chicago,Illinois,60640,1522,W,BALMORAL,AVE,FALSE,FALSE,,,77,40,2,M009,1,20,2012,26,,9,3,9,1164805.6006485966,1936017.1336342357,41.98005,-87.6692835,"(41.980050000941, -87.669283500002)"
SR25-01597617,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:08,9/2/2025 9:32,9/2/2025 9:08,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597615,Tree Debris Clean-Up Request,SEL,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 9:07,9/2/2025 9:07,,11022 S SANGAMON ST,Chicago,Illinois,60643,11022,S,SANGAMON,ST,FALSE,FALSE,,,75,21,13,N048,3,22,2234,48,,9,3,9,1171915.5437718672,1831612.4206501483,41.6934,-87.6462075,"(41.69340000094, -87.646207500002)"
SR25-01597614,Bee/Wasp Removal,SGG,,Streets and Sanitation,Open,Mobile Device,9/2/2025 9:07,9/2/2025 9:07,,9110 S PAXTON AVE,,,,9110,S,PAXTON,AVE,FALSE,FALSE,,,48,7,15,V044,1,04,0413,32,,9,3,9,1192352.1963230767,1844919.7612730365,41.729445,-87.570954,"(41.72944500094, -87.570954000002)"
SR25-01597613,Pothole in Street Complaint,PHF,,CDOT - Department of Transportation,Open,spot-open311-CHITEXT,9/2/2025 9:07,9/2/2025 9:31,,6430 N FAIRFIELD AVE,Chicago,IL,,6430,N,FAIRFIELD,AVE,FALSE,FALSE,,,2,50,2,J006,1,24,2412,19,,9,3,9,1156743.8232205955,1942702.639055724,41.998563,-87.6987495,"(41.998563000941, -87.698749500002)"
SR25-01597611,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:07,9/2/2025 9:32,9/2/2025 9:07,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597607,No Building Permit and Construction Violation,BBD,311 City Services,DOB - Buildings,Open,Phone Call,9/2/2025 9:06,9/2/2025 9:07,,1952 N BISSELL ST,Chicago,Illinois,60614,1952,N,BISSELL,ST,FALSE,FALSE,,,7,43,5,N018,1,18,1813,23,,9,3,9,1169582.4191102115,1913249.950478787,41.917473,-87.6523815,"(41.917473000941, -87.652381500002)"
SR25-01597604,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:06,9/2/2025 9:32,9/2/2025 9:06,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597602,Garbage Cart Maintenance,SIE,,Streets and Sanitation,Open,Mobile Device,9/2/2025 9:06,9/2/2025 9:06,,1542 S CENTRAL PARK AVE,,,,1542,S,CENTRAL PARK,AVE,FALSE,FALSE,,,29,24,6,G025,1,10,1014,2,,9,3,9,1152552.5386889307,1891999.2819272857,41.859513,-87.715512,"(41.85951300094, -87.715512000002)"
SR25-01597599,Tree Debris Clean-Up Request,SEL,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 9:06,9/2/2025 9:06,,1316 W 115TH ST,Chicago,Illinois,60643,1316,W,115TH,ST,FALSE,FALSE,,,75,21,13,M049,3,22,2234,29,,9,3,9,1169515.488371502,1828599.0439862427,41.685183,-87.6550815,"(41.68518300094, -87.655081500002)"
